   Hypothetical_Sample Year Quarter Month Mday Aerosol_Density CO2_Concentration Precip     pred
1                    1 2019       1     3    7             550               430   1.10 4176.541
2                    2 2019       1     3    7            1000               430   1.10 5687.159
3                    3 2019       1     3    7            1000               430  10.50 5687.159
4                    4 2019       1     3   10            1000               430   1.10 5687.159
5                    5 2019       1     3   10            1000               430   1.10 5687.159
6                    6 2019       1     3   10            1000               430   1.10 5687.159
7                    7 2019       3     9    7             550               445   1.10 4939.350
8                    8 2019       3     9    8             550               445   8.27 4939.350
9                    9 2019       3     9    9            1000               445  33.10 6449.968
10                  10 2019       3     9   10            1000               445   1.10 6449.968
   Hypothetical_Sample Year Quarter Month Mday Aerosol_Density CO2_Concentration Precip      pred
1                    1 2019       1     3    7             550               430   1.10  337.9575
2                    2 2019       1     3    7            1000               430   1.10  337.9575
3                    3 2019       1     3    7            1000               430  10.50 2361.9335
4                    4 2019       1     3   10            1000               430   1.10  337.9575
5                    5 2019       1     3   10            1000               430   1.10  337.9575
6                    6 2019       1     3   10            1000               430   1.10  337.9575
7                    7 2019       3     9    7             550               445   1.10  337.9575
8                    8 2019       3     9    8             550               445   8.27 1881.7775
9                    9 2019       3     9    9            1000               445  33.10 7228.0885
10                  10 2019       3     9   10            1000               445   1.10  337.9575
